time_sec,chan1_pitch_hz,chan2_pitch_hz
5.1125,,
5.1188,,
5.1250,,
5.1312,,
5.1375,179.80,182.94
5.1437,178.76,180.84
5.1500,182.94,189.39
5.1562,178.76,180.84
5.1625,182.94,178.76
5.1688,184.00,184.00
5.1750,184.00,184.00
5.1813,186.14,187.22
5.1875,180.84,189.39
5.1937,177.73,182.94
5.2000,180.84,178.76
5.2062,179.80,182.94
5.2125,172.67,176.71
5.2188,166.79,174.68
5.2250,162.04,174.68
5.2313,161.11,167.76
5.2375,166.79,
5.2438,168.73,178.76
5.2500,181.89,189.39
5.2562,,205.34
5.2625,201.82,202.98
5.2687,197.21,194.94
5.2750,189.39,186.14
5.2812,181.89,182.94
5.2875,175.69,176.71
5.2938,171.68,171.68
5.3000,166.79,165.83
5.3063,161.11,161.11
5.3125,157.43,157.43
5.3187,153.83,154.72
5.3250,150.32,149.45
5.3312,149.45,146.89
5.3375,147.74,148.59
5.3438,146.89,147.74
5.3500,148.59,147.74
5.3563,148.59,147.74
5.3625,150.32,148.59
5.3688,150.32,149.45
5.3750,152.07,152.95
5.3812,155.62,155.62
5.3875,160.18,161.11
5.3937,166.79,167.76
5.4000,169.71,169.71
5.4062,172.67,172.67
5.4125,176.71,176.71
5.4188,179.80,180.84
5.4250,187.22,187.22
5.4313,,
5.4375,215.05,215.05
5.4437,222.64,222.64
5.4500,220.08,220.08
5.4562,216.30,216.30
5.4625,213.82,213.82
5.4688,212.58,212.58
5.4750,,211.36
5.4813,,205.34
5.4875,,
5.4938,,
5.5000,,
5.5062,,
5.5125,,
5.5187,,
5.5250,,
5.5312,,
5.5375,,
5.5438,,
5.5500,,
5.5563,,
5.5625,,
5.5687,298.91,
5.5750,300.64,304.13
5.5812,298.91,298.91
5.5875,300.64,298.91
5.5938,305.89,307.67
5.6000,307.67,309.45
5.6063,313.04,311.24
5.6125,316.68,316.68
5.6188,318.52,320.36
5.6250,322.22,320.36
5.6312,329.75,324.08
5.6375,335.51,331.66
5.6437,337.46,333.58
5.6500,345.34,339.41
5.6562,347.34,351.38
5.6625,339.41,
5.6688,318.52,
5.6750,,
5.6813,,
5.6875,,
5.6937,,
5.7000,,
5.7062,,
5.7125,,
5.7188,,
5.7250,,
5.7313,,
5.7375,,
5.7438,,
5.7500,,
5.7562,,
5.7625,,
5.7687,,
5.7750,,
5.7812,,
5.7875,,
5.7938,,
5.8000,,
5.8063,,
5.8125,,
5.8187,,
5.8250,,
5.8312,,
5.8375,,
5.8438,,
5.8500,254.27,254.27
5.8563,254.27,254.27
5.8625,254.27,254.27
5.8688,252.81,252.81
5.8750,254.27,254.27
5.8812,255.74,255.74
5.8875,254.27,254.27
5.8937,255.74,255.74
5.9000,255.74,255.74
5.9062,249.90,254.27
5.9125,257.23,254.27
5.9188,252.81,248.46
5.9250,245.61,247.03
5.9313,244.20,241.39
5.9375,233.17,233.17
5.9437,227.84,229.16
5.9500,229.16,227.84
5.9562,,
5.9625,,
5.9688,,
5.9750,,
5.9813,,
5.9875,,
5.9938,,
6.0000,,
6.0062,,
6.0125,,
6.0187,,
6.0250,,
6.0312,,
6.0375,,
6.0438,,
6.0500,,
6.0563,,
6.0625,,
6.0687,,
6.0750,,
6.0812,,
6.0875,,
6.0938,,
6.1000,,
6.1063,,
6.1125,,
6.1188,,
6.1250,,
6.1312,,
6.1375,,
6.1437,,
6.1500,,
6.1562,,
6.1625,,
6.1688,,
6.1750,,
6.1813,,
6.1875,,
6.1937,,
6.2000,,
6.2062,,
6.2125,,
6.2188,,
6.2250,,
6.2313,,
6.2375,,
6.2438,,
6.2500,,
6.2562,,
6.2625,,
6.2687,,
6.2750,,
6.2812,,
6.2875,,
6.2938,,
6.3000,,
6.3063,,
6.3125,,
6.3187,,
6.3250,,
6.3312,,
6.3375,,
6.3438,,
6.3500,,
6.3563,,
6.3625,,
6.3688,,
6.3750,,
6.3812,,
6.3875,,
6.3937,,
6.4000,,
6.4062,,
6.4125,,
6.4188,,
6.4250,,
6.4313,,
6.4375,,
6.4437,,
6.4500,,
6.4562,,
6.4625,,
6.4688,,
6.4750,,
6.4813,,
6.4875,,
6.4938,,
6.5000,,
6.5062,,
6.5125,,
6.5187,,
6.5250,,
6.5312,,
6.5375,,
6.5438,,
6.5500,,
6.5563,,
6.5625,,
6.5687,,
6.5750,,
6.5812,,
6.5875,,
6.5938,,
6.6000,,
6.6063,,
6.6125,,
6.6188,,
6.6250,,
6.6312,,
6.6375,,
6.6437,,
6.6500,,
6.6562,,
6.6625,,
6.6688,,
6.6750,,
6.6813,,
6.6875,,
6.6937,,
6.7000,,
6.7062,,
6.7125,,
6.7188,,
6.7250,,
6.7313,,
6.7375,,
6.7438,,
6.7500,,
6.7562,,
6.7625,,
6.7687,,
6.7750,,
6.7812,,
6.7875,,
6.7938,,
6.8000,,
6.8063,,
6.8125,,
6.8187,,
6.8250,,
6.8312,,
6.8375,,
6.8438,,
6.8500,267.84,267.84
6.8563,248.46,247.03
6.8625,249.90,249.90
6.8688,247.03,249.90
6.8750,251.35,251.35
6.8812,251.35,251.35
6.8875,252.81,251.35
6.8937,261.72,258.72
6.9000,264.76,263.24
6.9062,264.76,264.76
6.9125,266.30,266.30
6.9188,266.30,266.30
6.9250,267.84,266.30
6.9313,267.84,266.30
6.9375,267.84,266.30
6.9437,267.84,266.30
6.9500,266.30,264.76
6.9562,263.24,261.72
6.9625,261.72,257.23
6.9688,249.90,251.35
6.9750,,247.03
6.9813,,247.03
6.9875,,
6.9938,,
7.0000,,
7.0062,238.62,
7.0125,251.35,252.81
7.0187,252.81,254.27
7.0250,254.27,254.27
7.0312,252.81,252.81
7.0375,252.81,252.81
7.0438,252.81,251.35
7.0500,251.35,251.35
7.0563,249.90,249.90
